headline,video_link
Best Sublime Text Features and Shortcuts,https://www.youtube.com/watch?v=9FPFogHkgOc
Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables,https://www.youtube.com/watch?v=OdIHeg4jj2c
Python Quick Tip: F-Strings – How to Use Them and Advanced String Formatting,https://www.youtube.com/watch?v=nghuHvKLhJA
"Big Announcements, Video Updates, and Future Plans",https://www.youtube.com/watch?v=OPUP4ghN9oo
Python Tutorial: Sets – Set Methods and Operations to Solve Common Problems,https://www.youtube.com/watch?v=r3R3h5ly_8g
Python Flask Tutorials – Full Series,https://www.youtube.com/watch?v=MwZwr5Tvyxo
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,https://www.youtube.com/watch?v=VGgTmxXp7xQ
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,https://www.youtube.com/watch?v=xzgwDbe7foQ
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),https://www.youtube.com/watch?v=IolxqkL7cD8
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),https://www.youtube.com/watch?v=5iWhQWVXosU
"Python Tutorial: Calculate Number of Days, Weeks, or Months to Reach Specific Goals",https://www.youtube.com/watch?v=k8asfUbWbI4
Python Tutorial: Context Managers – Efficiently Managing Resources,https://www.youtube.com/watch?v=-aKFBoZpiqA
Channel Update: Look Back on the Year and Big Plans for 2018,https://www.youtube.com/watch?v=CtgkEaeOkew
Python Tutorial: Working with JSON Data using the json Module,https://www.youtube.com/watch?v=9N6a-VLBa2I
Python Tutorial: Web Scraping with BeautifulSoup and Requests,https://www.youtube.com/watch?v=ng2o98k983k
Python Tutorial: re Module – How to Write and Match Regular Expressions (Regex),https://www.youtube.com/watch?v=K8L6KVGG-7o
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,https://www.youtube.com/watch?v=qE77MbDnljA
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,https://www.youtube.com/watch?v=sa-TUpSx1JA
5 Essential Skills Every Well-Rounded Programmer Should Know,https://www.youtube.com/watch?v=TtIJEQ6D9DE
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables",https://www.youtube.com/watch?v=cY2NXB_Tqq0
Python Tutorial: Generate Random Numbers and Data Using the random Module,https://www.youtube.com/watch?v=KzqSDvzOFNA
Linux/Mac Tutorial: Cron Jobs – How to Schedule Commands with crontab,https://www.youtube.com/watch?v=QZJ1drMQz1A
Python Tutorial: Unit Testing Your Code with the unittest Module,https://www.youtube.com/watch?v=6tNS--WetLI
"Python Tutorial: CSV Module – How to Read, Parse, and Write CSV Files",https://www.youtube.com/watch?v=q5uM4VKywbA
Linux/Mac Tutorial: SSH Key-Based Authentication – How to SSH Without a Password,https://www.youtube.com/watch?v=vpk_1gldOAE
Python Tutorial: Real World Example – Parsing Names From a CSV to an HTML List,https://www.youtube.com/watch?v=bkpLhQd6YQM
How to Create a Network of Machines in VirtualBox with SSH Access,https://www.youtube.com/watch?v=S7jD6nnYJy0
VirtualBox: How to Use Snapshots,https://www.youtube.com/watch?v=Qte4X-rdr2Q
Python Beginner Tutorials – Complete Series,https://www.youtube.com/watch?v=YYXdXT2l-Gg
"Python SQLite Tutorial: Complete Overview – Creating a Database, Table, and Running Queries",https://www.youtube.com/watch?v=pd-0G0MigUA
"Channel Update: Code Snippets, New Rewards, and Playlists",https://www.youtube.com/watch?v=4qMJN1pY_aw
Python Tutorial: Decorators With Arguments,https://www.youtube.com/watch?v=KlBPCzcQNU8
Python Tutorial: Anaconda – Installation and Using Conda,https://www.youtube.com/watch?v=YJC6ldI3hWk
"Python Tutorial: Datetime Module – How to work with Dates, Times, Timedeltas, and Timezones",https://www.youtube.com/watch?v=eirjjyP2qcQ
Linux/Mac Terminal: How To Use The Find Command,https://www.youtube.com/watch?v=KCVaNb_zOuw
"Python Tutorial: Logging Advanced – Loggers, Handlers, and Formatters",https://www.youtube.com/watch?v=jxmzY9soFXg
"Python Tutorial: Logging Basics – Logging to Files, Setting Levels, and Formatting",https://www.youtube.com/watch?v=-ARI4Cz-awo
Setting up a Python Development Environment in Atom,https://www.youtube.com/watch?v=DjEuROpsvp4
Setting up a Python Development Environment in Sublime Text,https://www.youtube.com/watch?v=xFciV6Ew5r4
Python Tutorial: Variable Scope – Understanding the LEGB rule and global/nonlocal statements,https://www.youtube.com/watch?v=QVdf0LgmICw
"Frequently Asked Questions #1: Text Editors, Books, Career Advice, and More",https://www.youtube.com/watch?v=N4WSqXtd_rk
"Jupyter Notebook Tutorial: Introduction, Setup, and Walkthrough",https://www.youtube.com/watch?v=HW29067qVWk
Python OOP Tutorials – Complete Series,https://www.youtube.com/watch?v=ZDa-Z5JzLYM
Linux/Mac Terminal: How To Use The cURL Command,https://www.youtube.com/watch?v=WxUVU0b95Oc
How to Install Ubuntu 16.04 LTS on VirtualBox with Guest Additions,https://www.youtube.com/watch?v=-2x-5DN-caM
"Channel Update: 5000 Subscribers, Future Tutorials, and Giveaway",https://www.youtube.com/watch?v=llBzkEatyN0
Python Tutorial: File Objects – Reading and Writing to Files,https://www.youtube.com/watch?v=Uh2ebFW8OYM
Python Tutorial: OS Module – Use Underlying Operating System Functionality,https://www.youtube.com/watch?v=tJxcKyFMTGo
Python Tutorial: Decorators – Dynamically Alter The Functionality Of Your Functions,https://www.youtube.com/watch?v=FsAPt_9Bf3U
"Python Tutorial: String Formatting – Advanced Operations for Dicts, Lists, Numbers, and Dates",https://www.youtube.com/watch?v=vTX3IwquFkc
Programming Terms: Closures – How to Use Them and Why They Are Useful,https://www.youtube.com/watch?v=swU3c34d2NQ
JavaScript Tutorial: Run JavaScript in Sublime Text with a NodeJS Build System,https://www.youtube.com/watch?v=1iPs43TppOY
Python Tutorial: Custom Sublime Text Build Systems,https://www.youtube.com/watch?v=xqcTfplzr7c
Programming Terms: First-Class Functions,https://www.youtube.com/watch?v=kr0mpwqttM0
"Python Tutorial: Duck Typing and Asking Forgiveness, Not Permission (EAFP)",https://www.youtube.com/watch?v=x3v9zMX1s4s
Customizing Your Terminal: How To Use and Modify Dotfiles,https://www.youtube.com/watch?v=c5RZWDLqifA
Customizing Your Terminal: Adding Color and Information to Your Prompt,https://www.youtube.com/watch?v=LXgXV7YmSiU
Customizing Your Terminal: .bash_profile and .bashrc files,https://www.youtube.com/watch?v=vDOVEDl2z84
"Terminal Basics: Create, Copy, Move, and Delete Files and Directories",https://www.youtube.com/watch?v=eoejHvAPDFs
Python Tutorial: Automate Parsing and Renaming of Multiple Files,https://www.youtube.com/watch?v=ve2pmm5JqmI
"Python Tutorial: Sorting Lists, Tuples, and Objects",https://www.youtube.com/watch?v=D3JvDWO-BY4
Python Tutorial: Image Manipulation with Pillow,https://www.youtube.com/watch?v=6Qs3wObeWwc
Python Tutorial: Using Try/Except Blocks for Error Handling,https://www.youtube.com/watch?v=NIWwJbo-9_8
Python: Slicing Lists and Strings,https://www.youtube.com/watch?v=ajrtAuDg3yw
Programming Terms: Memoization,https://www.youtube.com/watch?v=a7EjmdQzPqY
SQL for Beginners: UPDATE and DELETE – Modifying and Removing Records from Your Database,https://www.youtube.com/watch?v=wva2yMqcB6Q
SQL for Beginners: SELECT – Retrieving Records from Your Database,https://www.youtube.com/watch?v=-FPVPcq28r4
Git: Fixing Common Mistakes and Undoing Bad Commits,https://www.youtube.com/watch?v=FdZecVxzJbk
Setting up a Python Development Environment in Eclipse,https://www.youtube.com/watch?v=NDFbXIiqT4o
Using the New Split Screen Feature in OS X El Capitan,https://www.youtube.com/watch?v=mvki0jCnJIk
Ex Machina Easter Egg – Hidden Message within Movie’s Python Code,https://www.youtube.com/watch?v=mJokZMWnyGY
Terminal Basics: Navigating your Filesystem,https://www.youtube.com/watch?v=j6vKLJxAKfw
SQL for Beginners: INSERT – Adding Records to Your Table,https://www.youtube.com/watch?v=fA0jpjwi4J8
SQL for Beginners: Creating Your First Table,https://www.youtube.com/watch?v=w4HEVY_GjqY
SQL for Beginners: Installing PostgreSQL and Creating Your First Database,https://www.youtube.com/watch?v=xaWlS9HtWYw
Preparing for a Python Interview: 10 Things You Should Know,https://www.youtube.com/watch?v=DEwgZNC-KyE
"Git: Difference between “add -A”, “add -u”, “add .”, and “add *”",https://www.youtube.com/watch?v=tcd4txbTtAY
Programming Terms: Combinations and Permutations,https://www.youtube.com/watch?v=QI9EczPQzPQ
Chrome Quick Tip: Quickly Bookmark Open Tabs for Later Viewing,https://www.youtube.com/watch?v=tsiSg_beudo
Python: Comprehensions – How they work and why you should be using them,https://www.youtube.com/watch?v=3dt4OGnU5sM
Python: Generators – How to use them and the benefits you receive,https://www.youtube.com/watch?v=bD05uGo_sVI
Quickest and Easiest Way to Run a Local Web-Server,https://www.youtube.com/watch?v=lE6Y6M9xPLw
Git for Beginners: Command-Line Fundamentals,https://www.youtube.com/watch?v=HVsySz-h9r4
Time-Saving Keyboard Shortcuts for the Mac Terminal,https://www.youtube.com/watch?v=TXzrk3b9sKM
Overview of Online Learning Resources in 2015,https://www.youtube.com/watch?v=QGy6M8HZSC4
Python: Else Clauses on Loops,https://www.youtube.com/watch?v=Dh-0lAyc3Bc
Programming Terms: Mutable vs Immutable,https://www.youtube.com/watch?v=5qQQ3yzbKp8
Python: Namedtuple – When and why should you use namedtuples?,https://www.youtube.com/watch?v=GfxJYp9_nJA
Programming Terms: Idempotence,https://www.youtube.com/watch?v=UaKZ4wKytcA
Programming Terms: String Interpolation,https://www.youtube.com/watch?v=0q8spKeh1Kc
Programming Terms: DRY (Don’t Repeat Yourself),https://www.youtube.com/watch?v=IGH4-ZhfVDk
Python: What is the difference between str() and repr()?,https://www.youtube.com/watch?v=5cvM-crlDvg
Sublime Text Quick Tip: Launch Sublime Text from the Terminal,https://www.youtube.com/watch?v=4wMKGs2fe4s
"How Web Developers, Designers, Programmers, and Software Engineers can volunteer their skills and give back to the community",https://www.youtube.com/watch?v=HfABu4aCI3U
Git: Change DiffMerge Font-Size on Mac OSX,https://www.youtube.com/watch?v=kjBA2WISteM
Git: Diff and Merge Tools,https://www.youtube.com/watch?v=iCGrKFH2oeo
Git: Using the Stash Command,https://www.youtube.com/watch?v=KLEDKgMmbBI
"An in-depth look at Python’s package management system, pip",https://www.youtube.com/watch?v=U2ZN104hIcc
Python: virtualenv and why you should use virtual environments,https://www.youtube.com/watch?v=N5vscPTWKOk
Resize Multiple Images Using the Mac Terminal,https://www.youtube.com/watch?v=HVMOBKRNEbc
Resize Multiple Images Using Picasa,https://www.youtube.com/watch?v=43eOoHpUW44
"How to quickly create favicons for the desktop, Apple/Android devices, tablets, and more",https://www.youtube.com/watch?v=LOFQH4fVAQY
Sublime Text Quick Tip: “Go To Definition” Click Shortcut,https://www.youtube.com/watch?v=DwTV5ogPdlU
Python: if __name__ == ‘__main__’,https://www.youtube.com/watch?v=sugvnHA7ElY
"JavaScript Arrays: Properties, Methods, and Manipulation",https://www.youtube.com/watch?v=8JgU2WmrZXI
CSS Tips and Tricks: Add External URLs to Print Stylesheets,https://www.youtube.com/watch?v=jF-OQ-BrIAM
Mac Tip: Adding Folder Stacks to the Dock,https://www.youtube.com/watch?v=4glHQglQrU8
"Understanding Binary, Hexadecimal, Decimal (Base-10), and more",https://www.youtube.com/watch?v=ZL-LhaaMTTE
"Sublime Text 3: Setup, Package Control, and Settings",https://www.youtube.com/watch?v=zVLJfrIwEP8
WordPress Tips: Test your theme with Theme Unit Test and Monster Widget,https://www.youtube.com/watch?v=eGT0Z3oafFA
WordPress Plugins: Imsanity,https://www.youtube.com/watch?v=obsje6AO3U8
Mac Tip: Screenshots,https://www.youtube.com/watch?v=VmQq1o1taOA
ArcGIS API for JavaScript: Starting Templates,https://www.youtube.com/watch?v=AMlNnhdJOo8
Terminal 101: Creating Aliases,https://www.youtube.com/watch?v=0liXeoADU6A
Mac Tip: Windows’ Best Features on Mac with HyperDock,https://www.youtube.com/watch?v=g0O86DQnDiA
ArcGIS API for JavaScript Part 1: First Web Map,https://www.youtube.com/watch?v=-tsFnoKNtNc
"Sublime Text 2: Setup, Package Control, and Settings",https://www.youtube.com/watch?v=uOMk8MlE_v4
Using Font Awesome in Desktop Applications (OS X),https://www.youtube.com/watch?v=OlpVKUpraao
Adding Custom Web Fonts to Your Web Site Using CSS Font-Face,https://www.youtube.com/watch?v=y2AlgMII1OU
